"","fieldname","standard","vetted","namespace","source","comment"
"324","NAMEACCORDINGTOID","nameAccordingToID",1,"dwc","",""
"325","NAMEPUBLISHEDIN","namePublishedIn",1,"dwc","",""
"326","NAMEPUBLISHEDINID","namePublishedInID",1,"dwc","",""
"327","NAMEPUBLISHEDINYEAR","namePublishedInYear",1,"dwc","",""
"328","NOMBRE CIENTIFICO","scientificName",1,"dwc","",""
"329","NOMBRE CIENTÍFICO","scientificName",1,"dwc","",""
"330","NOMENCLATURALCODE","nomenclaturalCode",1,"dwc","",""
"331","NOMENCLATURALSTATUS","nomenclaturalStatus",1,"dwc","",""
"332","NUMCAT","catalogNumber",1,"dwc","",""
"333","OCCURRENCEID","occurrenceID",1,"dwc","",""
"334","OCCURRENCEREMARKS","occurrenceRemarks",1,"dwc","",""
"335","OCCURRENCESTATUS","occurrenceStatus",1,"dwc","",""
"336","OCEAN","waterBody",1,"dwc","",""
"337","OCEANO","waterBody",1,"dwc","",""
"338","OCÉANO","waterBody",1,"dwc","",""
"339","ORDEN","order",1,"dwc","",""
"340","ORDER","order",1,"dwc","",""
"341","ORGANISMID","organismID",1,"dwc","",""
"342","ORGANISMNAME","organismName",1,"dwc","",""
"343","ORGANISMQUANTITY","organismQuantity",1,"dwc","",""
"344","ORGANISMQUANTITYTYPE","organismQuantityType",1,"dwc","",""
"345","ORGANISMREMARKS","organismRemarks",1,"dwc","",""
"346","ORGANISMSCOPE","organismScope",1,"dwc","",""
"347","ORIGINALNAMEUSAGE","originalNameUsage",1,"dwc","",""
"348","ORIGINALNAMEUSAGEID","originalNameUsageID",1,"dwc","",""
"349","OTHERCATALOGNUMBERS","otherCatalogNumbers",1,"dwc","",""
"350","OWNERINSTITUTIONCODE","ownerInstitutionCode",1,"dwc","",""
"351","PAÍS","country",1,"dwc","",""
"352","PARENTEVENTID","parentEventID",1,"dwc","",""
"353","PARENTNAMEUSAGE","parentNameUsage",1,"dwc","",""
"354","PARENTNAMEUSAGEID","parentNameUsageID",1,"dwc","",""
"355","PERMITINFORMATION","",1,"","FIMS",""
"356","PHOTO","associatedMedia",1,"dwc","","There could be other fields that also map into associatedMedia."
"357","PHYLUM","phylum",1,"dwc","",""
"358","PLATEID","",1,"","FIMS",""
"359","POINTRADIUSSPATIALFIT","pointRadiusSpatialFit",1,"dwc","",""
"360","PREPARATIONS","preparations",1,"dwc","",""
"361","PREPARATOR","",1,"","","This may be in addition to a collector."
"362","PRESERVATIVE","",1,"","FIMS","Contributes to dwc:preparations"
"363","PREVIOUSIDENTIFICATIONS","previousIdentifications",1,"dwc","",""
"364","PREVIOUSTISSUEID","otherCatalogNumbers",1,"dwc","FIMS","Contributes ""tissue"" to dwc:preparations if present"
"365","PRINCIPALINVESTIGATOR","",1,"","FIMS",""
"366","PROVINCE","stateProvince",1,"dwc","",""
"367","PROVINCIA","stateProvince",1,"dwc","",""
"368","RECORDEDBY","recordedBy",1,"dwc","",""
"369","RECORDNUMBER","recordNumber",1,"dwc","",""
"370","REFERENCES","references",1,"dcterms","",""
"371","REINO","kingdom",1,"dwc","",""
